Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-05-23 20:00:07,2019-05-23 20:00:17,10.037s,INCOMPLETE
,,,,,,,
Test Cases/TestForReqResponseChainingDemo,,,,2019-05-23 20:00:07,2019-05-23 20:00:17,9.656s,PASSED
"response = sendRequest(findTestObject(""REST/ListUsers""))",,,,2019-05-23 20:00:08,2019-05-23 20:00:15,7.544s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.008s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.016s,PASSED
value = first_name,,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.008s,PASSED
"println(""
 Value is : "" + value)",,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.005s,PASSED
USERNAME = value,,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.158s,PASSED
"println(""
 Value of USERNAME is : "" + USERNAME)",,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.002s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,,2019-05-23 20:00:15,2019-05-23 20:00:17,1.547s,PASSED
